x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-1.872119815668200715e+01,-4.999251152073734517e+01,3.969300127554671320e-01
-1.772119815668200715e+01,-4.999251152073734517e+01,3.967787163306666365e-01
-1.672119815668200715e+01,-4.999251152073734517e+01,3.968517386030687710e-01
-1.572119815668200715e+01,-4.999251152073734517e+01,3.967395502916217787e-01
-1.472119815668200715e+01,-4.999251152073734517e+01,3.963641616847191074e-01
-1.372119815668200715e+01,-4.999251152073734517e+01,3.961435337381442601e-01
-1.272119815668200715e+01,-4.999251152073734517e+01,3.957810871794138485e-01
-1.172119815668200715e+01,-4.999251152073734517e+01,3.934469453395412764e-01
-1.072119815668200715e+01,-4.999251152073734517e+01,3.930481054312706668e-01
-9.721198156682007152e+00,-4.999251152073734517e+01,3.935438635392571882e-01
-8.721198156682007152e+00,-4.999251152073734517e+01,3.934104211674727125e-01
-7.721198156682007152e+00,-4.999251152073734517e+01,3.927579463781021296e-01
-6.721198156682007152e+00,-4.999251152073734517e+01,3.934193970864159340e-01
-5.721198156682007152e+00,-4.999251152073734517e+01,3.950244736783137256e-01
-4.721198156682007152e+00,-4.999251152073734517e+01,3.958511435121776501e-01
-3.721198156682007152e+00,-4.999251152073734517e+01,3.961204223843535210e-01
-2.721198156682007152e+00,-4.999251152073734517e+01,3.956661208590239731e-01
-1.721198156682007152e+00,-4.999251152073734517e+01,3.956788260555055281e-01
-7.211981566820071521e-01,-4.999251152073734517e+01,3.959490102055811533e-01
2.788018433179928479e-01,-4.999251152073734517e+01,3.964298506047665427e-01
1.278801843317992848e+00,-4.999251152073734517e+01,3.960190334611528584e-01
2.278801843317992848e+00,-4.999251152073734517e+01,3.961928469728843716e-01
3.278801843317992848e+00,-4.999251152073734517e+01,3.957435133483051537e-01
4.278801843317992848e+00,-4.999251152073734517e+01,3.961274831796202101e-01
5.278801843317992848e+00,-4.999251152073734517e+01,3.953970928948011831e-01
6.278801843317992848e+00,-4.999251152073734517e+01,3.948170188907753619e-01
7.278801843317992848e+00,-4.999251152073734517e+01,3.944784944088612910e-01
8.278801843317992848e+00,-4.999251152073734517e+01,3.941210475646208522e-01
9.278801843317992848e+00,-4.999251152073734517e+01,3.939507193425049181e-01
1.027880184331799285e+01,-4.999251152073734517e+01,3.945744505930579571e-01
1.127880184331799285e+01,-4.999251152073734517e+01,3.939053397591933958e-01
1.227880184331799285e+01,-4.999251152073734517e+01,3.932275699256653212e-01
1.327880184331799285e+01,-4.999251152073734517e+01,3.918771758413921447e-01
1.427880184331799285e+01,-4.999251152073734517e+01,3.905666413521076130e-01
1.527880184331799285e+01,-4.999251152073734517e+01,3.890218520279788983e-01
1.627880184331799285e+01,-4.999251152073734517e+01,3.893579200604815327e-01
1.727880184331799285e+01,-4.999251152073734517e+01,3.893030434813158358e-01
1.827880184331799285e+01,-4.999251152073734517e+01,3.885798943661979976e-01
1.927880184331799285e+01,-4.999251152073734517e+01,3.887373272579606187e-01
-2.372119815668200715e+01,-4.899251152073734517e+01,4.024565477251464962e-01
-2.272119815668200715e+01,-4.899251152073734517e+01,4.012687112024475589e-01
-2.172119815668200715e+01,-4.899251152073734517e+01,3.992736363304825176e-01
-2.072119815668200715e+01,-4.899251152073734517e+01,3.978937220137162001e-01
-1.972119815668200715e+01,-4.899251152073734517e+01,3.974774557536520092e-01
-1.872119815668200715e+01,-4.899251152073734517e+01,3.965398755368543249e-01
-1.772119815668200715e+01,-4.899251152073734517e+01,3.968140892933340602e-01
-1.672119815668200715e+01,-4.899251152073734517e+01,3.972497161336709937e-01
-1.572119815668200715e+01,-4.899251152073734517e+01,3.966066576035536251e-01
-1.472119815668200715e+01,-4.899251152073734517e+01,3.973104616242291165e-01
-1.372119815668200715e+01,-4.899251152073734517e+01,3.961562609636324339e-01
-1.272119815668200715e+01,-4.899251152073734517e+01,3.953888468846979976e-01
-1.172119815668200715e+01,-4.899251152073734517e+01,3.945067093728034102e-01
-1.072119815668200715e+01,-4.899251152073734517e+01,3.937521083015891321e-01
-9.721198156682007152e+00,-4.899251152073734517e+01,3.940066796419587902e-01
-8.721198156682007152e+00,-4.899251152073734517e+01,3.943153266744556795e-01
-7.721198156682007152e+00,-4.899251152073734517e+01,3.940205303317871888e-01
-6.721198156682007152e+00,-4.899251152073734517e+01,3.943905687792650383e-01
-5.721198156682007152e+00,-4.899251152073734517e+01,3.952219018047760102e-01
-4.721198156682007152e+00,-4.899251152073734517e+01,3.961873065122767379e-01
-3.721198156682007152e+00,-4.899251152073734517e+01,3.964131951888654193e-01
-2.721198156682007152e+00,-4.899251152073734517e+01,3.961696050171616967e-01
-1.721198156682007152e+00,-4.899251152073734517e+01,3.959242650960983489e-01
-7.211981566820071521e-01,-4.899251152073734517e+01,3.964158646767375060e-01
2.788018433179928479e-01,-4.899251152073734517e+01,3.962580144631688839e-01
1.278801843317992848e+00,-4.899251152073734517e+01,3.957034149557681069e-01
2.278801843317992848e+00,-4.899251152073734517e+01,3.959096134923232313e-01
3.278801843317992848e+00,-4.899251152073734517e+01,3.955890804920629833e-01
